Date,Description,Paid Out,Paid In,Balance
01/11/2024,Opening Balance,,,5420.50
01/11/2024,DIRECT DEBIT - ELECTRICITY,125.00,,5295.50
03/11/2024,STRIPE PAYMENTS UK,,73.30,5368.80
04/11/2024,STRIPE PAYMENTS UK,,82.52,5451.32
05/11/2024,STRIPE PAYMENTS UK,,63.59,5514.91
06/11/2024,TRANSFER - SAVINGS,500.00,,5014.91
07/11/2024,STRIPE PAYMENTS UK,,56.80,5071.71
08/11/2024,AMAZON MARKETPLACE,,145.67,5217.38
10/11/2024,PAYPAL TRANSFER,,89.99,5307.37
15/11/2024,CUSTOMER BANK TRANSFER,,500.00,5807.37
23/11/2024,AMAZON MARKETPLACE,,87.32,5894.69
25/11/2024,CARD PAYMENT - SUPPLIES,234.56,,5660.13
30/11/2024,STRIPE PAYMENTS UK,,243.75,5903.88
03/12/2024,AMAZON MARKETPLACE,,387.42,6291.30
06/12/2024,AMAZON MARKETPLACE,,156.28,6447.58
